Calculate expected waste quantity for your facility based on activity type and specifications,احسب كمية النفايات المتوقعة لمنشأتك بناءً على نوع النشاط والمواصفات,
Calculate Waste,احسب النفايات,
Calculate Waste Amount,احسب كمية النفايات,
Calculating...,جاري الحساب...,
Calculation Basis,أساس الحساب,
Calculation Factor,عامل الحساب,
Calculation Method,طريقة الحساب,
Calculation Parameters,معاملات الحساب,
Calculation Results,نتائج الحساب,
Calibre,عيار,
Calorie (Food),سعرة حرارية (غذائية),
Calorie (It),سعرة حرارية (دولية),
Calorie (Mean),سعرة حرارية (متوسطة),
Calorie (Th),سعرة حرارية (حرارية),
Calorie/Seconds,سعرة حرارية/ثانية,
Carat,قيراط,
Cardboard,كرتون,
Category Classification,تصنيف الفئة,
Category Code,رمز الفئة,
Celsius,درجة مئوية,
Cental,سنتال,
Centiarea,سنتيآر,
Centigram/Litre,سنتيغرام/لتر,
Centilitre,سنتيلتر,
Centimeter,سنتيمتر,
Chain,سلسلة,
Check the proximity of the contracted container location,التحقق من قرب موقع الحاوية المتعاقد عليها,
Chemical Waste,نفايات كيميائية,
Choose a rating from 1 to 5 stars,اختر تصنيف من 1 إلى 5 نجوم,
Choose Calculation Basis,اختر أساس الحساب,
Classification,التصنيف,
Clean Paper,ورق نظيف
Clean paper and cardboard materials suitable for recycling,مواد ورق وكرتون نظيفة مناسبة لإعادة التدوير,
"Clean, reusable clothing, fabrics, and textile materials",ملابس وأقمشة ومواد نسيجية نظيفة قابلة لإعادة الاستخدام,
Clear,مسح,
Clear All Dropped Waste,مسح جميع النفايات المسقطة,
Clear Glass,زجاج شفاف
Click on a container to view its types,انقر على حاوية لعرض أنواعها,
Click on one of the containers in the middle,انقر على إحدى الحاويات في المنتصف,
"Click on one of the containers to view its dedicated waste types, then drag and drop waste from the panel on the right",انقر على إحدى الحاويات لعرض أنواع النفايات المخصصة لها، ثم اسحب وأفلت النفايات من اللوحة على اليمين,
Click to remove,انقر للإزالة,
Click to view waste,انقر لعرض النفايات,
Cluster Classification,تصنيف على أساس الشريحة,
Cluster Volume,حجم الكتلة,
Commercial Registration Number,رقم السجل التجاري,
Commercial Waste,نفايات تجارية,
Company,شركة,
Composite Materials,مواد مركبة
Comprehensive Analysis and Projections,تحليل وتوقعات شاملة,
"Computers, phones, appliances, electronic equipment, and electronic components",أجهزة كمبيوتر وهواتف وأجهزة ومعدات إلكترونية ومكونات إلكترونية,
Concrete and Masonry,خرسانة وبناء حجري,
"Concrete debris, concrete blocks, cement, and masonry materials",حطام خرسانة وكتل خرسانية وإسمنت ومواد بناء حجري,
Configuration Level,مستوى الإعدادات,
Configuration Summary,ملخص الإعدادات,
Construction and Demolition Waste,نفايات البناء والهدم,
Construction Wood,خشب بناء,
Contact Us,تواصل معنا,
Container Type,نوع الحاوية,
Contaminated or mixed materials that cannot be separated for recycling,مواد ملوثة أو مختلطة لا يمكن فصلها لإعادة التدوير,
Contaminated Paper,ورق ملوث
Contract Type,نوع التعاقد,
Copper and Brass,نحاس وبرونز,
"Copper wiring, pipes, brass fittings, and copper alloys",أسلاك نحاسية وأنابيب ووصلات برونزية وسبائك نحاسية,
"Corrugated boxes, packaging materials, and cardboard products",صناديق مموجة ومواد تغليف ومنتجات كرتونية,
"Cotton, wool, jute, and other natural fiber materials",قطن وصوف وجوت وألياف طبيعية أخرى
Coulomb,كولوم,
Count,العدد,
"Crop residues, animal manure, plant materials, and farming operation waste",بقايا محاصيل وسماد حيواني ومواد نباتية ونفايات عمليات الزراعة,
Cubic Centimeter,سنتيمتر مكعب,
Cubic Decimeter,ديسيمتر مكعب,
Cubic Foot,قدم مكعب,
Cubic Inch,بوصة مكعبة,
Cubic Meter,متر مكعب,
Cubic Millimeter,مليمتر مكعب,
Cubic Yard,ياردة مكعبة,
Cup,كوب,
Cycle/Second,دورة/ثانية,
Daily,يومي,
Daily Generation,التوليد اليومي,
Daily Waste Generation Rate,معدل توليد النفايات اليومي,
Daily × 30,يومي × 30,
Daily × 365,يومي × 365,
Daily × 7,يومي × 7,
Day,يوم,
Decigram/Litre,ديسيغرام/لتر,
Decilitre,ديسيلتر,
Decimeter,ديسيمتر,
Default Area Unit,وحدة المساحة الافتراضية,
Default Density Unit,وحدة الكثافة الافتراضية,
Default Length Unit,وحدة الطول الافتراضية,
Default Mass Unit,وحدة الكتلة الافتراضية,
Default Volume Unit,وحدة الحجم الافتراضية,
Dekagram/Litre,ديكاغرام/لتر,
Density,كثافة,
Density Unit,وحدة الكثافة,
Density:,كثافة:,
Designated Containers,الحاويات المخصصة,
Detailed Calculation Report,التقرير التفصيلي للحساب,
Determine the maximum diameter of the circular area that the container can cover.,حدد الحد الأقصى لقطر المنطقة الدائرية التي يمكن للحاوية تغطيتها.,
"Diapers, hygiene products, personal care items, and sanitary materials",حفاضات ومنتجات نظافة ومستلزمات العناية الشخصية ومواد صحية,
Disposal Points,نقاط التخلص,
Distance Unit,وحدة المسافة,
Distribution %,نسبة التوزيع %,
Distribution Percentage:,نسبة التوزيع:,
Division,قسم,
Doors and Windows,أبواب ونوافذ,
"Doors, window frames, glass panes, and associated hardware",أبواب وإطارات نوافذ وألواح زجاجية والأجزاء المرتبطة,
Drag and drop in the container,اسحب وأفلت في الحاوية,
Drag and drop waste types here,اسحب وأفلت أنواع النفايات هنا,
Drag waste from the right,اسحب النفايات من اليمين,
Dram,درام,
Dyne,داين,
Electronic Waste (E-Waste),نفايات إلكترونية,
Ells (UK),إيل (بريطاني),
Ems(Pica),إيمس (بيكا),
EMU Of Charge,وحدة كهرومغناطيسية للشحنة,
EMU of current,وحدة كهرومغناطيسية للتيار,
Erg,إرج,
Estimated Volume,الحجم المقدر,
Estimated Weight,الوزن المقدر,
Expected Waste Composition,تكوين النفايات المتوقع,
Facility Generated Waste,نفايات المنشأة,
Facility Measurement,قياس المنشأة,
Facility Rating,تصنيف المنشأة,
Facility Rating Safety Factor,عامل أمان تصنيف المنشأة,
Facility Specifications,مواصفات المنشأة,
Facility UOM,وحدة قياس المنشأة,
Facility-Specific Waste Selection,اختيار النفايات الخاص بالمنشأة,
Fahrenheit,فهرنهايت,
FAQs,الأسئلة الشائعة,
Faraday,فاراداي,
Fathom,قامة,
Ferrous Metals,معادن حديدية,
"Fiberglass insulation, foam board, and other insulation materials",عزل ألياف زجاجية وألواح رغوية ومواد عزل أخرى,
Fluid Ounce (UK),أونصة سائلة (بريطانية),
Fluid Ounce (US),أونصة سائلة (أمريكية),
"Fluorescent lamps, CFL bulbs, and mercury-containing lighting",مصابيح فلورسنت ومصابيح موفرة ومصابيح تحتوي على الزئبق,
Food Waste,نفايات الطعام,
Foot,قدم,
Foot Of Water,قدم من الماء,
Foot/Minute,قدم/دقيقة,
Foot/Second,قدم/ثانية,
For commercial contracts only,للعقود التجارية فقط,
Formula,المعادلة,
Found At,تم العثور عليه في,
Furlong,فرلنغ,
Gallon (UK),غالون (بريطاني),
Gallon Dry (US),غالون جاف (أمريكي),
Gallon Liquid (US),غالون سائل (أمريكي),
Gamma,غاما,
Garden Waste,نفايات الحدائق,
Gauss,غاوس,
Generation Rate,معدل التوليد,
Generation Rate Method,طريقة معدل التوليد,
Glass Waste,نفايات زجاجية,
Grain,حبة,
Grain/Cubic Foot,حبة/قدم مكعب,
Grain/Gallon (UK),حبة/غالون (بريطاني),
Grain/Gallon (US),حبة/غالون (أمريكي),
Gram,غرام,
Gram-Force,غرام-قوة,
Gram/Cubic Centimeter,غرام/سنتيمتر مكعب,
Gram/Cubic Meter,غرام/متر مكعب,
Gram/Cubic Millimeter,غرام/مليمتر مكعب,
Gram/Litre,غرام/لتر,
Grand Total Measurement,إجمالي القياس,
"Grass clippings, leaves, branches, prunings, and other yard maintenance waste",قصاصات العشب والأوراق والفروع والتقليمات ونفايات صيانة الساحات الأخرى,
"Greasy pizza boxes, soiled paper, and other contaminated paper products",صناديق بيتزا دهنية وورق متسخ ومنتجات ورقية ملوثة أخرى
Green Glass,زجاج أخضر,
Green-colored glass bottles and containers,زجاجات وحاويات زجاجية خضراء اللون,
Group,مجموعة,
Gypsum and Drywall,جبس وحوائط جافة,
"Gypsum board, plasterboard, drywall, and plaster materials",ألواح جبس وألواح جصية وحوائط جافة ومواد جص,
Hand,يد,
Naqel Platform,منصة حاوية,
Hazardous Industrial Waste,نفايات صناعية خطرة,
Hazardous Medical Waste,نفايات طبية خطرة,
Hazardous Wastes,نفايات خطرة,
HDPE Plastic (Type 2),بلاستيك HDPE (النوع 2),
Hectare,هكتار,
Hectogram/Litre,هكتوغرام/لتر,
Hectometer,هكتومتر,
Hectopascal,هكتوباسكال,
Hertz,هرتز,
"High-Density Polyethylene - milk jugs, detergent bottles, shampoo bottles",بولي إيثيلين عالي الكثافة - علب حليب وزجاجات منظفات وزجاجات شامبو,
Horsepower,حصان,
Horsepower-Hours,حصان-ساعة,
Hour,ساعة,
"Household batteries, rechargeable batteries, and battery cells",بطاريات منزلية وبطاريات قابلة للشحن وخلايا بطاريات,
Household Waste,نفايات منزلية,
How to use Naqel,كيفية استخدام حاوية,
Hundredweight (UK),هندريدويت (بريطاني),
Hundredweight (US),هندريدويت (أمريكي),
Iches Of Water,بوصات من الماء,
ID Code,رمز الهوية,
ID Number,رقم الهوية,
ID Type,نوع الهوية,
Ignore,تجاهل,
Important Information,معلومات مهمة,
Inch,بوصة,
Inch Pound-Force,بوصة باوند-قوة,
Inch/Minute,بوصة/دقيقة,
Inch/Second,بوصة/ثانية,
Inches Of Mercury,بوصات من الزئبق,
Include the container ID number in the contract,تضمين رقم هوية الحاوية في العقد,
Individual,فرد,
Individuals,أفراد,
Insulation Materials,مواد عزل,
Invalid Credential Dates,تواريخ الاعتماد غير صالحة,
Invalid Credential Type,نوع الاعتماد غير صالح,
Iqama,إقامة,
ISIC Classification,تصنيف ISIC,
ISIC Classification (International Standard Industrial Classification),التصنيف الصناعي الدولي (ISIC),
ISIC Classification Tree,شجرة تصنيف ISIC,
ISIC Code,رمز ISIC,
It must be a whole number,يجب أن يكون رقماً صحيحاً,
Joule,جول,
Joule/Meter,جول/متر,
Kelvin,كلفن,
Kg,كجم,
Kiloampere,كيلوأمبير,
Kilocalorie,كيلوسعرة حرارية,
Kilocoulomb,كيلوكولوم,
Kilogram-Force,كيلوغرام-قوة,
Kilogram/Cubic Centimeter,كيلوغرام/سنتيمتر مكعب,
Kilogram/Cubic Meter,كيلوغرام/متر مكعب,
Kilogram/Litre,كيلوغرام/لتر,
Kilohertz,كيلوهرتز,
Kilojoule,كيلوجول,
Kilometer,كيلومتر,
Kilometer/Hour,كيلومتر/ساعة,
Kilopascal,كيلوباسكال,
Kilopond,كيلوبوند,
Kilopound-Force,كيلوباوند-قوة,
Kilowatt,كيلووات,
Kilowatt-Hour,كيلووات-ساعة,
Kip,كيب,
"Kitchen scraps, leftover food, expired food products, and food preparation waste",بقايا المطبخ والطعام المتبقي والمنتجات الغذائية منتهية الصلاحية ونفايات تحضير الطعام,
Knot,عقدة,
LDPE Plastic (Type 4),بلاستيك LDPE (النوع 4),
Licensed Vehicles,مركبات مرخصة,
Light Bulbs and Fluorescent Tubes,مصابيح كهربائية وأنابيب فلورسنت,
Link,وصلة,
Litre,لتر,
Litre-Atmosphere,لتر-ضغط جوي,
"Low-Density Polyethylene - plastic bags, squeeze bottles, bread bags",بولي إيثيلين منخفض الكثافة - أكياس بلاستيكية وزجاجات قابلة للعصر وأكياس خبز,
"Lumber, timber, wooden beams, pallets, and untreated construction wood",ألواح خشبية وأخشاب وعوارض خشبية ومنصات وخشب بناء غير معالج,
Manzana,مانزانا,
Mass,الكتلة,
"Materials that can be collected, processed, and reused to create new products",مواد يمكن جمعها ومعالجتها وإعادة استخدامها لإنشاء منتجات جديدة,
Medical Waste,نفايات طبية,
Medio Metro,ميديو ميترو,
Megacoulomb,ميغاكولوم,
Megagram/Litre,ميغاغرام/لتر,
Megahertz,ميغاهرتز,
Megajoule,ميغاجول,
Megawatt,ميغاوات,
Mean,الوسط الحسابي,
Median,الوسيط,
Metal Scraps,قصاصات معدنية,
Metal Waste,نفايات معدنية,
Meter,متر,
Meter Of Water,متر من الماء,
Meter/Second,متر/ثانية,
Microbar,ميكروبار,
Microgram,ميكروغرام,
Microgram/Litre,ميكروغرام/لتر,
Micrometer,ميكرومتر,
Microsecond,ميكروثانية,
Mile,ميل,
Mile (Nautical),ميل بحري,
Mile/Hour,ميل/ساعة,
Mile/Minute,ميل/دقيقة,
Mile/Second,ميل/ثانية,
Milibar,ميليبار,
Milliampere,ميلي أمبير,
Millicoulomb,ميليكولوم,
Milligram,ميليغرام,
Milligram/Cubic Centimeter,ميليغرام/سنتيمتر مكعب,
Milligram/Cubic Meter,ميليغرام/متر مكعب,
Milligram/Cubic Millimeter,ميليغرام/مليمتر مكعب,
Milligram/Litre,ميليغرام/لتر,
Millihertz,ميليهرتز,
Millilitre,ميليلتر,
Millimeter,مليمتر,
Millimeter Of Mercury,مليمتر من الزئبق,
Millimeter Of Water,مليمتر من الماء,
Millisecond,ميلي ثانية,
Minute,دقيقة,
MISA License,رخصة وزارة الإستثمار,
Mixed C&D Waste,نفايات بناء وهدم مختلطة,
Mixed colored glass requiring sorting,زجاج مختلط الألوان يتطلب الفرز,
Mixed construction and demolition debris requiring sorting,حطام بناء وهدم مختلط يتطلب الفرز,
Mixed Glass,زجاج مختلط,
Mixed metallic waste requiring sorting and separation,نفايات معدنية مختلطة تتطلب الفرز والفصل,
Mixed Metals,معادن مختلطة,
Mixed plastics and other resins not fitting categories 1-6,بلاستيك مختلط وراتنجات أخرى لا تنتمي للفئات 1-6,
Mixed Waste,نفايات مختلطة,
MOMRAH License,رخصة وزارة الشؤون البلدية والقروية والإسكان,
Monthly Generation,التوليد الشهري,
"Multi-layer packaging, laminated materials, and bonded composites",تغليف متعدد الطبقات ومواد مغلفة ومركبات ملتصقة,
N/A,غير متاح,
Nanocoulomb,نانوكولوم,
Nanogram/Litre,نانوغرام/لتر,
Nanohertz,نانوهرتز,
Nanometer,نانومتر,
Nanosecond,نانوثانية,
Natural Textiles,منسوجات طبيعية,
"Needles, syringes, pharmaceuticals, infectious materials, and medical supplies",إبر وحقن وأدوية ومواد معدية ومستلزمات طبية,
Newton,نيوتن,
No waste available for this container,لا توجد نفايات متاحة لهذه الحاوية,
No waste selected,لا توجد نفايات محددة
Non-recyclable and non-compostable waste that cannot be recovered or reused,نفايات غير قابلة لإعادة التدوير أو التحويل إلى سماد ولا يمكن استردادها أو إعادة استخدامها,
"Non-recyclable paper, tissues, napkins, paper towels, and contaminated paper products",ورق غير قابل لإعادة التدوير ومناديل ورقية ومحارم ورقية ومناشف ورقية ومنتجات ورقية ملوثة
Non-recyclable rubber items and rubber waste,مواد مطاطية غير قابلة لإعادة التدوير ونفايات مطاطية,
Nos,قطعة,
Not Specified,غير محدد,
Note,ملاحظة,
Note:,ملاحظة:,
"Office paper, newspapers, magazines, and clean printed materials",ورق مكتبي وصحف ومجلات ومواد مطبوعة نظيفة,
Oil and Lubricants,زيوت ومواد تشحيم,
Organic Wastes,نفايات عضوية,
Other Plastics (Type 7),بلاستيك آخر (النوع 7),
Ounce,أونصة,
Ounce-Force,أونصة-قوة,
Ounce/Cubic Foot,أونصة/قدم مكعب,
Ounce/Cubic Inch,أونصة/بوصة مكعبة,
Ounce/Gallon (UK),أونصة/غالون (بريطاني),
Ounce/Gallon (US),أونصة/غالون (أمريكي),
Overview,نظرة عامة,
"Paints, solvents, acids, bases, and other chemical substances",دهانات ومذيبات وأحماض وقواعد ومواد كيميائية أخرى,
Pair,زوج,
Paper and Cardboard,ورق وكرتون,
Paper Waste,نفايات ورقية,
Parent Category,الفئة الأصل,
Parts Per Million,جزء في المليون,
Pascal,باسكال,
Peck,بيك,
Percent,نسبة مئوية,
Permissible Container Location Remoteness,بُعد موقع الحاوية المسموح به,
Pesticides and Fertilizers,مبيدات وأسمدة,
PET Plastic (Type 1),بلاستيك PET (النوع 1),
Pint (UK),باينت (بريطاني),
"Pint, Dry (US)",باينت جاف (أمريكي),
"Pint, Liquid (US)",باينت سائل (أمريكي),
Plastic and metal beverage bottles and cans,زجاجات وعلب مشروبات بلاستيكية ومعدنية,
Plastic Waste,نفايات بلاستيكية,
Please select service type and ISIC classification first,يرجى اختيار نوع الخدمة والتصنيف الصناعي أولاً,
"Polyethylene Terephthalate - water bottles, soft drink bottles, food containers",بولي إيثيلين تيرفثالات - زجاجات ماء وزجاجات مشروبات غازية وحاويات طعام,
"Polypropylene - yogurt containers, bottle caps, straws",بولي بروبيلين - حاويات زبادي وأغطية زجاجات ومصاصات,
"Polystyrene - foam cups, egg cartons, disposable cutlery",بوليسترين - أكواب فوم وعلب بيض وأدوات مائدة يمكن التخلص منها,
"Polyvinyl Chloride - pipes, window frames, credit cards",بولي فينيل كلوريد - أنابيب وإطارات نوافذ وبطاقات ائتمان,
Pond,بوند,
Pood,بود,
Pound,باوند,
Pound-Force,باوند-قوة,
Pound/Cubic Foot,باوند/قدم مكعب,
Pound/Cubic Inch,باوند/بوصة مكعبة,
Pound/Cubic Yard,باوند/ياردة مكعبة,
Pound/Gallon (UK),باوند/غالون (بريطاني),
Pound/Gallon (US),باوند/غالون (أمريكي),
Poundal,بوندال,
PP Plastic (Type 5),بلاستيك PP (النوع 5),
PP Plastic (Type 5),بلاستيك PP (النوع 5),
Print Report,طباعة التقرير,
PS Plastic (Type 6),بلاستيك PS (النوع 6),
Psi/1000 Feet,رطل لكل بوصة مربعة/1000 قدم,
PVC Plastic (Type 3),بلاستيك PVC (النوع 3),
Quart (UK),كوارت (بريطاني),
Quart Dry (US),كوارت جاف (أمريكي),
Quart Liquid (US),كوارت سائل (أمريكي),
Quintal,قنطار,
Facility Rating Safety Factor,عامل أمان تصنيف المنشأة,
Ready-Mix Concrete,خرسانة جاهزة,
Recyclable glass containers and products,حاويات ومنتجات زجاجية قابلة لإعادة التدوير,
Recyclable metallic materials including ferrous and non-ferrous metals,مواد معدنية قابلة لإعادة التدوير بما في ذلك المعادن الحديدية وغير الحديدية,
Recyclable plastic materials categorized by resin identification codes,مواد بلاستيكية قابلة لإعادة التدوير مصنفة حسب رموز تعريف الراتنج,
Recyclable Waste,قابلة لإعادة التدوير,
Recyclable Wastes,نفايات قابلة لإعادة التدوير,
Regional Safety Factor,عامل الأمان الإقليمي,
Regional Service Configuration,الإعدادات الإقليمية,
Registered Containers,حاويات مسجلة,
Registered Waste Transporters,ناقلو النفايات المسجلين,
Remove,إزالة,
Required user IDs (will be included in facility and contract creation),معرفات المستخدمين المطلوبة (سيتم تضمينها في إنشاء المرفق والعقد),
Residual Wastes,نفايات متبقية,
Result,النتيجة,
Results are estimates and may vary depending on the actual nature of the activity,النتائج تقديرية وقد تختلف حسب طبيعة النشاط الفعلي,
Rod,قضيب,
Role Allowed to Override Stop Action,الدور المسموح له بتجاوز إجراء الإيقاف,
Roofing Materials,مواد تسقيف,
Root category for all waste classification types,الفئة الجذرية لجميع أنواع تصنيف النفايات,
"Row #{0}: Credential Type must be one of: {1}. Got '{2}'.",الصف #{0}: يجب أن يكون نوع الاعتماد أحد: {1}. القيمة المُدخلة '{2}'.,
Row #{0}: Expiry Date cannot be before Issue Date.,الصف #{0}: لا يمكن أن يكون تاريخ الانتهاء قبل تاريخ الإصدار.,
Rubber Products,منتجات مطاطية,
Safety Factor,عامل الأمان,
Sanitary Waste,نفايات صحية,
Sazhen,سازين,
Search for ISIC Classification,ابحث عن التصنيف الصناعي,
Search for Service Type,ابحث عن نوع الخدمة,
Search for UOM,ابحث عن وحدة القياس,
Search Here,ابحث هنا,
Search Path,مسار البحث,
Second,ثانية,
Section,باب,
Select from available waste types on the left,اختر من أنواع النفايات المتاحة على اليسار,
Selected,محدد,
Service Configuration,إعدادات الخدمة,
Service Information,معلومات الخدمة,
Service Type,نوع الخدمة,
Set,طقم,
Sewage Waste,نفايات صرف صحي,
"Shingles, roofing tiles, asphalt roofing, and roofing membranes",قوالب التسقيف وبلاط السقف والتسقيف الأسفلتي وأغشية التسقيف,
Slaughterhouse Waste,نفايات مسالخ,
Slug,سلج,
Slug/Cubic Foot,سلج/قدم مكعب,
Smart digital system for managing individual and commercial waste,منظومة رقميـة ذكيـة لإدارة النفايـات الفرديـة والتجاريـة,
Specific,محدد,
Specific type,نوع محدد,
Square Centimeter,سنتيمتر مربع,
Square Foot,قدم مربع,
Square Inch,بوصة مربعة,
Square Kilometer,كيلومتر مربع,
Square Meter,متر مربع,
Square Mile,ميل مربع,
Square Yard,ياردة مربعة,
Standard Density,الكثافة القياسية,
Standard Measurement Units,وحدات القياس القياسية,
"Steel, iron, and iron-containing metal scraps and products",فولاذ وحديد وقصاصات ومنتجات معدنية تحتوي على الحديد,
Stone,ستون,
Stop,إيقاف,
"Structural steel, rebar, metal frames, pipes, and metal construction materials",فولاذ إنشائي وحديد تسليح وإطارات معدنية وأنابيب ومواد بناء معدنية,
Submit a Complaint,رفع شكوى,
Suggested Container,الحاوية المقترحة,
Suggested containers are based on calculated generation rates,الحاويات المقترحة تستند إلى معدلات التوليد المحسوبة,
Support and Help,الدعم والمساعدة,
Tablespoon (US),ملعقة طعام (أمريكية),
Tax ID,الرقم الضريبي,
Tax Identification Number,رقم التعريف الضريبي,
Teaspoon,ملعقة شاي,
Technical Atmosphere,ضغط جوي تقني,
Terms and Conditions,البنود والاشتراطات,
Tesla,تسلا,
Textiles and Fabrics,منسوجات وأقمشة,
The daily waste generation rate per unit of the specified unit of measure.,معدل توليد النفايات اليومي لكل وحدة من وحدة القياس المحددة.,
The following distribution shows the expected waste type composition based on the service configuration parameters.,يوضح التوزيع التالي تكوين أنواع النفايات المتوقعة بناءً على معاملات إعدادات الخدمة.,
"The following estimates represent expected waste generation volumes across different time periods, calculated on a daily basis",التقديرات التالية تمثل أحجام توليد النفايات المتوقعة عبر فترات زمنية مختلفة، محسوبة على أساس يومي,
"The following estimates represent projected waste generation volumes across different time periods, calculated on a daily basis.",التقديرات التالية تمثل أحجام توليد النفايات المتوقعة عبر فترات زمنية مختلفة، محسوبة على أساس يومي.,
The following waste types have been specifically selected for this facility based on operational requirements.,تم اختيار أنواع النفايات التالية خصيصاً لهذه المنشأة بناءً على المتطلبات التشغيلية.,
This will check the availability of containers of the selected container type before submitting the contract.,سيتم التحقق من توفر الحاويات من نوع الحاوية المحدد قبل تسجيل العقد.,
Threshold Cluster,عتبة الكتلة,
Time Period,الفترة الزمنية,
Time-based Waste Generation Estimates,التقديرات الزمنية لتوليد النفايات,
Ton (Long)/Cubic Yard,طن (طويل)/ياردة مكعبة,
Ton (Short)/Cubic Yard,طن (قصير)/ياردة مكعبة,
Ton-Force (UK),طن-قوة (بريطاني),
Ton-Force (US),طن-قوة (أمريكي),
Tonne,طن,
Tonne-Force(Metric),طن-قوة (متري),
Torr,تور,
Total Generated Waste,إجمالي النفايات المتولدة,
Transparent clear glass bottles and containers,زجاجات وحاويات زجاجية شفافة ونقية,
Treated Medical Waste,نفايات طبية معالجة,
Unit,وحدة,
Unit Waste Generation Rate,معدل توليد النفايات,
"Untreated wood, sawdust, wood chips, and timber offcuts",خشب غير معالج ونشارة خشب ورقائق خشبية وقصاصات أخشاب,
"Used motor oil, lubricants, hydraulic fluids, and petroleum products",زيت محركات مستعمل ومواد تشحيم وسوائل هيدروليكية ومنتجات بترولية,
Used Oils,زيوت مستعملة,
Vara,فارا,
Versta,فيرستا,
